COMUNE AZIENDA;TITOLARE;DENOMINAZIONE AZIENDA;INDIRIZZO AZIENDA;POSTI LETTO;POSTI MACCHINA;POSTI TENDA;POSTI ROULOTTE;RECAPITI
ALIFE;SOLEO  CAROLINA;IL CASOLARE DEI MURANDI;LOC. OLIVETOLE;9;20;;;casalare dei murandi@gmail.com
ALVIGNANO;SANTAGATA GIUSEPPE;LA SAGLUITELLA;VIA S. GIACOMO, 5 LOC.SAGLIUTELLA;4;25;;;lasagliutella.srl@tim.it
ALVIGNANO;GRIMALDI BIAGIO;CASA LORENZO  SRL;CASA LORENZO,8;;30;;;societaagricolagrimaldi@legalmail.it
ALVIGNANO;MORELLI MARIANGELA;GENOVESI;LOC.GENOVESI;12;90;;;nd
ALVIGNANO;SGUEGLIA DOMENICO;IL GELSO ROSSO;VIA FRONTACCIO 23/25;10;10;;;DOMENICO.SGUEGLIA@GMAIL.COM
BELLONA;MOTTOLA ROSA;BOSCO GRANDE SOC. COOP. AGRICOLA;VIA FILETTO � LOC. CUCCOLA;;140;;;nd
CAIANIELLO;BELFORTE SERGIO;MASSERIA LA MONACA;LOC. LA MONACA-VIA VECCHIE CERASELLE;12;60;;;nd
CAIANIELLO;LOMBARBO BERARDINO;IL CONTADINO;VIA STARZE;;;;;nd
CAIAZZO;SCARANO LUCIA ANNA MARIA;AGRITURISMO �LE SAUDINE�;LOC. SAN GIOVANNI E PAOLO;7;40;;;nd
CAIAZZO;BOSCO ALMERIGO;PODERI BOSCO;FRAZ.SS GIOVANNI E PAOLO VIA CICINI DELLE SAUDINE;10;65;;;info@poderibosco.it
CAIAZZO;MIRTO ROSA;VILLANOVA;VIA VILLANOVA;10;45;;;villanovaagriturismo@gmail.com
CAIAZZO;PALUMBO GIOVANNA;MASSERIA PICCIRILLO;LOC. BARRACCONE VIA CARPINETO,78;;30;;;deangelismarinanove@gmail.com
CAIAZZO;DE ANGELIS MARINA;LA SELVETELLA;VIA SELVETELLA;10;86;5;;nd
CAIAZZO;DURANTE PATRIZIA;VILLA ALDI;VIA PAOLO ALDI;6;30;;;nd
CAIAZZO;RICCIO NICOLETTA;MASSERIA DE SIMONE;LOC. CESARANO;5;18;;;nicolettariccio@pec.it
CALVI RISORTA;CIOFFI MONICA;CIOFFI;LOC.CERRETO;6;30;;;monicacioffi@arubapec.it
CANCELLO ED ARNONE;MASSIMILLA LUIGI;MASSIMILLA LUIGI;VIA PROV.LE PER CAPPELLA REALE, 69;8;40;;;nd
CARINOLA;MATANO GIUSEPPE;MASSERIA DON PEPPE;LOC. ARIA;;10;;;nd
